Date,Close
2025-07-27,301.81
2025-07-28,297.96
2025-07-29,300.97
2025-07-30,297.35
2025-07-31,293.73
2025-08-03,285.69
2025-08-04,290.45
2025-08-05,287.6
2025-08-06,286.4
2025-08-07,291.08
2025-08-12,283.06
2025-08-13,282.92
2025-08-14,266.21
2025-08-17,256.1
2025-08-18,255.17
2025-08-19,257.68
2025-08-20,256.2
2025-08-21,255.6
2025-08-24,254.41
2025-08-25,253.97
2025-08-26,251.55
2025-08-27,255.1
2025-08-28,253.1
2025-08-31,250.33
2025-09-01,251.65
2025-09-02,250.64
2025-09-03,249.66
2025-09-04,249.39
2025-09-07,248.75
2025-09-08,246.21
