Date,Close
2025-07-27,547.84
2025-07-28,539.63
2025-07-29,548.55
2025-07-30,545.18
2025-07-31,536.48
2025-08-03,524.4
2025-08-04,527.97
2025-08-05,527.9
2025-08-06,525.93
2025-08-07,527.36
2025-08-12,524.86
2025-08-13,523.63
2025-08-14,523.82
2025-08-17,521.21
2025-08-18,518.95
2025-08-19,518.81
2025-08-20,518.81
2025-08-21,518.14
2025-08-24,513.56
2025-08-25,522.58
2025-08-26,529.35
2025-08-27,533.87
2025-08-28,528.86
2025-08-31,520.84
2025-09-01,527.66
2025-09-02,523.75
2025-09-03,519.88
2025-09-04,517.58
2025-09-07,514.87
2025-09-08,513.15
